反馈日期,角色,功能模块,问题描述,图片,反馈人,,,,,,,,,,,,,,,,,,,,,
2025/12/26,技术支持,工单,点击选择未关闭工单，跳转页面返回后未记录操作，返回初始所有工单, ,Cody,,,,,,,,,,,,,,,,,,,,,
2025/12/26,技术支持,工单,客户提供工单，显示不美观，太窄并且太靠左边；, ,Cody,,,,,,,,,,,,,,,,,,,,,
2025/12/26,技术支持,工单,状态更新，需要同步到聊天页面，提醒用户状态变化, ,Cody,,,,,,,,,,,,,,,,,,,,,
2025/12/26,技术支持,工单,"新消息过来，需要增加提醒；
未读工单需要高亮，方便staff查看；", ,Cody,,,,,,,,,,,,,,,,,,,,,
2025/12/26,Admin,DASHBOARD,这个图片对应的数据是总数，需要每天的新增数量，不是总数, ,SHAMY,,,,,,,,,,,,,,,,,,,,,
2025/12/26,Admin,TICKET,需要有分配状态：已分配，待分配，分配给谁了, ,SHAMY,,,,,,,,,,,,,,,,,,,,,
2025/12/26,Admin,TICKET,64032 这个工单，ADMIN 分配了三次，三次都是给STAFF.NA，但是NA 没有收到，AFRICA 收到1次, ,SHAMY,,,,,,,,,,,,,,,,,,,,,
2025/12/26,Admin,TICKET,客户用邮件或者登录工单系统输入一个问题，有任何回复或者状态变化，都需要发邮件给客户,,SHAMY,,,,,,,,,,,,,,,,,,,,,
2025/12/26,技术支持,TICKET,工单列表里附带主题，点进去就看不到主题名字了, ,Faith,,,,,,,,,,,,,,,,,,,,,
2025/12/26,Admin,TICKET,admin 的也好能加入TICKET 的回复，ADD NOTE 要能生效, ,SHAMY,,,,,,,,,,,,,,,,,,,,,
2025/12/26,Admin,TICKET,如果客户自动分配给某个区，但是临时休假，ADMIN 要能重新分配给另外一个区的技术支持，同时还要抄送原来那个区的技术支持, ,SHAMY,,,,,,,,,,,,,,,,,,,,,
2025/12/26,技术支持,TICKET,工单创建时间和更新时间, ,Faith,,,,,,,,,,,,,,,,,,,,,
2025/12/26,客户,工单,语言选择的是英文，提交工单后，下一个页面显示中文, ,Dover,,,,,,,,,,,,,,,,,,,,,
2025/12/26,客户,工单,二次回复时候不能发附件, ,Kevin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
